source airport, destination airport, distance (weighted km), number of passengers, aircraft type, expected time, ticket cost, net profit
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,2772.105529031658,10,Boeing 767-800,264.62084809357776,497.92817240535396,-23253.245651330028
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,2772.105529031658,10,Airbus A200-100,278.39321858401735,560.6372989026975,-17099.437616532272
Hartsfield-Jackson Atlanta International Airport,Harry Reid International Airport,2772.105529031658,10,Airbus A220-300,278.39321858401735,419.896213546994,-15956.056114785772
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,653.7841767325735,11,Boeing 737-600,113.48112655486597,240.11414547197714,-5930.8193931578335
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,653.7841767325735,11,Boeing 767-800,113.48112655486597,171.34204129959397,-7830.331287391445
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,653.7841767325735,11,Airbus A200-100,114.8091223879858,207.6950940585779,-6127.005274728048
Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,653.7841767325735,11,Airbus A220-300,114.8091223879858,162.709635301208,-6020.256506144697
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,964.5321977168996,13,Boeing 737-600,134.64924787532414,300.9863591162985,-6832.390351939974
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,964.5321977168996,13,Boeing 767-800,134.64924787532414,219.25072796410618,-9581.256812031439
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,964.5321977168996,13,Airbus A200-100,137.83886702615226,259.4700957872437,-7135.427634149202
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,964.5321977168996,13,Airbus A220-300,137.83886702615226,200.43772604951133,-7015.320411732897
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,365.2668388083609,11,Boeing 737-600,86.98745504169042,183.59668486649383,-4534.838116202397
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,365.2668388083609,11,Boeing 767-800,86.98745504169042,126.86070656379697,-5797.534289965521
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,365.2668388083609,11,Airbus A200-100,86.83303120985481,159.6240375721727,-4708.9091083790945
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,365.2668388083609,11,Airbus A220-300,86.83303120985481,127.68058419676788,-4724.181615280411
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3453.5047525208925,17,Boeing 737-600,311.03768893071907,788.5494613074562,-14745.874926449425
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3453.5047525208925,17,Boeing 767-800,311.03768893071907,602.9809472812211,-23938.343607064475
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3453.5047525208925,17,Airbus A200-100,328.8921728939902,674.1680170141608,-15842.94839983278
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,3453.5047525208925,17,Airbus A220-300,328.8921728939902,502.62527376173927,-15581.383486613919
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2522.395218327006,20,Boeing 737-600,247.61060894475952,606.155062423823,-9516.63448005402
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2522.395218327006,20,Boeing 767-800,247.61060894475952,459.42980001169497,-16861.073660429203
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2522.395218327006,20,Airbus A200-100,259.88701966815876,519.032040315866,-10640.156826475253
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,2522.395218327006,20,Airbus A220-300,259.88701966815876,389.5787452869875,-10908.204868035651
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1207.1356475721427,28,Boeing 737-600,151.1753684376704,348.5097801300807,-2683.5253070016206
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1207.1356475721427,28,Boeing 767-800,151.1753684376704,256.653420428657,-7365.9531663024545
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1207.1356475721427,28,Airbus A200-100,155.81837170910012,299.89125115244246,-3748.6406394055302
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,1207.1356475721427,28,Airbus A220-300,155.81837170910012,229.89234636534516,-4597.846927306904
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3385.7841426879613,30,Boeing 737-600,306.4245683698927,775.283718160272,-4419.117193513546
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3385.7841426879613,30,Boeing 767-800,306.4245683698927,592.5403161005668,-15820.826439885132
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3385.7841426879613,30,Airbus A200-100,323.87335299530463,662.884808580331,-6960.290490093477
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,3385.7841426879613,30,Airbus A220-300,323.87335299530463,494.4032767069741,-8899.258980725534
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1102.7780475334819,30,Boeing 737-600,144.06654009716215,328.06724245972043,-1869.9832820204047
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1102.7780475334819,30,Boeing 767-800,144.06654009716215,240.5643861510586,-6423.069110233263
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1102.7780475334819,30,Airbus A200-100,148.0843598485274,282.5038035822659,-2966.289937613794
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,1102.7780475334819,30,Airbus A220-300,148.0843598485274,217.2222318717364,-3910.0001736912545
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1533.5821091891162,21,Boeing 737-600,173.4128658230228,412.45715038858174,-6063.120110712151
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1533.5821091891162,21,Boeing 767-800,173.4128658230228,306.98236924321805,-10959.27058198288
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1533.5821091891162,21,Airbus A200-100,180.01153833091138,354.28183443274,-6908.495771438429
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,1533.5821091891162,21,Airbus A220-300,180.01153833091138,269.5263935568119,-7277.212626033923
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,941.368842438217,13,Boeing 737-600,133.07136263835667,296.4489055654216,-6729.39015633507
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,941.368842438217,13,Boeing 767-800,133.07136263835667,215.67958396573084,-9425.197819302437
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,941.368842438217,13,Airbus A200-100,136.12221520213922,255.61075420303462,-7029.295740583452
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,941.368842438217,13,Airbus A220-300,136.12221520213922,197.6254501507908,-6916.890755277678
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1451.6454506704888,15,Boeing 737-600,167.8313495751599,396.4066353544112,-8205.61735183631
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1451.6454506704888,15,Boeing 767-800,167.8313495751599,294.35001944780595,-12274.395810973507
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1451.6454506704888,15,Airbus A200-100,173.93915751184315,340.630031846821,-8686.065812093937
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,1451.6454506704888,15,Airbus A220-300,173.93915751184315,259.57841809292495,-8566.087797066524
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1233.008589080028,28,Boeing 737-600,152.93783039324842,353.57801264234655,-2722.550697346067
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1233.008589080028,28,Boeing 767-800,152.93783039324842,260.6423071281254,-7480.4342145772
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1233.008589080028,28,Airbus A200-100,157.73583278922996,304.2020480066049,-3802.525600082561
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,1233.008589080028,28,Airbus A220-300,157.73583278922996,233.03359464117656,-4660.6718928235305
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,963.5737589774957,18,Boeing 737-600,134.58395913285793,300.79861121841907,-5324.135418566017
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,963.5737589774957,18,Boeing 767-800,134.58395913285793,219.1029634148492,-8479.284684154663
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,963.5737589774957,18,Airbus A200-100,137.7678364871648,259.31040637962565,-5834.4841435415765
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,963.5737589774957,18,Airbus A220-300,137.7678364871648,200.32136146697152,-6009.640844009145
