Origin Airport,Destination Airport,Flight Time (Minutes)
San Francisco International Airport,Fort Lauderdale-Hollywood International Airport,416.37305276358603
San Francisco International Airport,Minneapolis-Saint Paul International Airport,280.4689064268126
San Francisco International Airport,LaGuardia Airport,415.50821627167704
San Francisco International Airport,Detroit Metropolitan Airport,346.98300726487344
San Francisco International Airport,Philadelphia International Airport,407.5196140509384
San Francisco International Airport,Salt Lake City International Airport,140.88478385520128
San Francisco International Airport,Ronald Reagan Washington National Airport,396.687333336177
San Francisco International Airport,San Diego International Airport,120.70262497621917
San Francisco International Airport,Baltimore/Washington International Airport,398.69805606988325
San Francisco International Airport,Tampa International Airport,390.13992674060734
San Francisco International Airport,Austin-Bergstrom International Airport,269.0181521667963
San Francisco International Airport,Washington Dulles International Airport,393.4609369833721
San Francisco International Airport,Nashville International Airport,331.9701087456217
San Francisco International Airport,Paris Charles de Gaulle Airport,836.6177659375921
George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,154.99456969938421
George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,86.65620601259926
George Bush Intercontinental Airport,Denver International Airport,176.87585447087272
George Bush Intercontinental Airport,O'Hare International Airport,187.25108811172154
George Bush Intercontinental Airport,Los Angeles International Airport,242.12645481263414
George Bush Intercontinental Airport,John F. Kennedy International Airport,251.03691753089373
George Bush Intercontinental Airport,Harry Reid International Airport,221.66226992922827
George Bush Intercontinental Airport,Orlando International Airport,175.10098401097076
George Bush Intercontinental Airport,Miami International Airport,190.02933455240924
George Bush Intercontinental Airport,Charlotte Douglas International Airport,182.95398412445655
