Origin Airport,Destination Airport,Aircraft,Flight Time (Minutes)
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,636.8875042438495
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,683.3987407395997
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,683.3987407395997
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,203.47489202282082
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,203.47489202282082
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,212.54146999689715
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,212.54146999689715
Denver International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,141.63354989363677
Denver International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,141.63354989363677
Denver International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,145.26151181089753
Denver International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,145.26151181089753
Denver International Airport,O'Hare International Airport,Boeing 737-600,169.1358009445011
Denver International Airport,O'Hare International Airport,Boeing 767-800,169.1358009445011
Denver International Airport,O'Hare International Airport,Airbus A200-100,175.15524211524695
Denver International Airport,O'Hare International Airport,Airbus A220-300,175.15524211524695
Denver International Airport,Los Angeles International Airport,Boeing 737-600,162.7832706635814
Denver International Airport,Los Angeles International Airport,Boeing 767-800,162.7832706635814
Denver International Airport,Los Angeles International Airport,Airbus A200-100,168.44712699638075
Denver International Airport,Los Angeles International Airport,Airbus A220-300,168.44712699638075
Denver International Airport,John F. Kennedy International Airport,Boeing 737-600,255.87074892327848
Denver International Airport,John F. Kennedy International Airport,Boeing 767-800,255.87074892327848
Denver International Airport,John F. Kennedy International Airport,Airbus A200-100,268.8735948819427
Denver International Airport,John F. Kennedy International Airport,Airbus A220-300,268.8735948819427
Denver International Airport,Harry Reid International Airport,Boeing 737-600,137.40249243299462
Denver International Airport,Harry Reid International Airport,Boeing 767-800,137.40249243299462
Denver International Airport,Harry Reid International Airport,Airbus A200-100,140.83424475144398
Denver International Airport,Harry Reid International Airport,Airbus A220-300,140.83424475144398
Denver International Airport,Orlando International Airport,Boeing 737-600,247.25486785471315
Denver International Airport,Orlando International Airport,Boeing 767-800,247.25486785471315
Denver International Airport,Orlando International Airport,Airbus A200-100,259.49999304746603
