source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit/loss per flight, percent full
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 737-600,21768.507407056517,609.7621122424796,-5914.692488752047,0.2184873949579832
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 767-800,26210.63425882065,462.26868181341536,-14191.64853167185,0.13756613756613756
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A200-100,21145.05100680892,522.1000248594795,-7570.450360462453,0.1925925925925926
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A220-300,18807.08950588043,391.8143647058423,-8619.91602352853,0.1625
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,16699.99778008144,467.7870526633458,-9215.404937467909,0.13445378151260504
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,19874.997225101804,350.5290515890971,-14266.53239967625,0.08465608465608465
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,16254.383822885604,401.34281044161986,-9832.898855819687,0.11851851851851852
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,14583.331483401202,303.8194059041917,-9722.220988934136,0.1
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,13675.80813364035,383.07585808516393,-6397.366830022235,0.15966386554621848
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,16094.76016705044,283.85820400441696,-10701.454290966518,0.10052910052910052
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,13336.306093863497,329.2915084904567,-7079.76743254482,0.14074074074074075
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,12063.173444700293,251.3161134312561,-7288.167289506427,0.11875
Dallas/Fort Worth International Airport,LaGuardia Airport,Boeing 737-600,19782.77916905074,554.1394725224297,-387.89763076569943,0.29411764705882354
Dallas/Fort Worth International Airport,LaGuardia Airport,Boeing 767-800,23728.473961313426,418.49160425596875,-9081.26781235452,0.18518518518518517
